code,duration_m,event,years_to_touch,touch_year,fast,earn_dom,earn_mult,pe_mult,pe0
000001,224.5072273324573,0,2.49,2007,1,1.0,7.055555555555556,1.1331507854363465,33.388888888888886
000002,227.98948751642575,0,2.35,2007,1,0.0,1.871794871794872,2.293103896441476,13.512820512820513
000062,0.164257555847569,1,1.58,2015,1,0.0,0.8990291262135922,10.69246139453229,15.129449838187702
000568,4.106438896189225,1,4.9,2021,0,1.0,3.9490909090909088,3.3890101333276834,15.17090909090909
000596,40.14454664914586,1,4.92,2021,0,0.0,2.696969696969697,3.927808988764045,16.0
000661,12.877792378449408,1,4.89,2020,0,1.0,2.569965870307167,1.5815134959888766,35.593856655290104
000733,0.09855453350854139,1,4.41,2022,0,1.0,8.398501735793896,1.1747230890675695,25.89073634204276
000799,0.1314060446780552,1,3.41,2021,0,1.0,4.012549248504304,2.510986651577853,39.06318400700423
000858,8.409986859395532,1,4.93,2020,0,0.0,3.15980331899201,3.522191110919393,14.910878918254458
002048,227.6938239159001,0,1.96,2007,1,1.0,2.0,1.58868501529052,25.15384615384616
002129,0.22996057818659657,1,3.7,2022,0,1.0,9.068832834544676,1.1229852196155652,24.8396750748183
002252,32.95006570302234,1,3.19,2015,0,0.0,0.7027027027027027,4.156976370874534,32.37837837837838
002271,17.345597897503286,1,4.98,2021,0,0.0,1.4262295081967211,2.880089389851937,10.581967213114757
002292,0.0,1,2.48,2015,1,0.0,0.8863636363636364,3.8650541056651817,35.70454545454545
002371,71.41918528252299,0,4.63,2020,0,1.0,9.94090909090909,1.0340799930808289,202.8181818181818
002460,66.09724047306176,0,4.94,2021,0,1.0,6.060113728675873,0.5845619999876042,63.24939073923639
002466,0.09855453350854139,1,2.17,2022,1,,,,
002475,72.27332457293035,0,4.78,2020,0,0.0,1.1976744186046513,1.7255663430420711,31.3953488372093
002709,0.0,1,4.85,2021,0,0.0,1.910569105691057,1.9307775403665228,36.34959349593496
002714,76.37976346911958,0,4.74,2020,0,1.0,6.065040650406504,0.2319302949061662,73.17073170731707
002812,1.1826544021024967,1,2.01,2021,1,0.0,2.8867924528301887,3.586421814134669,28.25471698113208
300014,72.27332457293035,0,4.9,2020,0,1.0,2.3421052631578947,1.1435056828315255,54.71052631578947
300015,7.522996057818659,1,4.89,2020,0,0.0,0.7555357142857142,3.504119268128645,49.035714285714285
300024,0.0,1,4.14,2015,0,0.0,1.1185682326621924,1.868277551020408,114.18717375093216
300059,134.8226018396846,0,1.75,2015,1,1.0,108.96999999999998,0.0195456331141547,2225.0
300122,41.68856767411301,1,4.94,2020,0,1.0,8.2532,0.6298629203478703,79.24
300142,11.990801576872535,1,3.93,2020,0,1.0,13.036,0.7798491068434054,180.6
