code,n_qual,first_q,last_q,touch_date,days_to_touch,years_to_touch,max_drawdown,hold,denom,has_mcap
000001,51,2005-01-20,2005-12-19,2007-10-31,608,2.49,-0.2945339119187774,False,3662,True
000002,257,2005-01-04,2006-08-09,2007-07-17,574,2.35,-0.31251525953415693,False,3611,True
000025,2,2013-05-27,2013-05-28,2015-10-21,563,2.31,-0.6305304525780104,False,1221,True
000062,10,2013-05-27,2013-09-13,2015-06-04,413,1.69,-0.3779992365579671,False,1665,True
000422,14,2018-12-14,2019-06-28,2021-10-27,691,2.83,-0.5192858529954365,False,1446,True
000506,385,2005-04-21,2007-03-06,2009-07-23,465,1.91,-0.5378177309361438,False,570,True
000526,226,2008-10-27,2013-03-04,2013-09-11,1023,4.19,-0.6370323718352437,True,27,True
000529,30,2005-02-01,2005-10-21,2009-09-15,68,0.28,-0.9989207856680337,False,111,True
000547,2,2013-05-27,2013-05-28,2015-06-15,339,1.39,-0.2194078237562037,False,1214,True
000568,48,2016-02-15,2016-05-30,2021-02-02,1196,4.9,-0.4371969106278586,False,3306,True
000596,10,2016-01-28,2016-02-29,2021-01-04,1200,4.92,-0.4728513166853503,False,2555,True
000615,2,2013-05-27,2013-05-28,2017-04-12,773,3.17,-0.6998160196809597,False,14,True
000626,2,2013-05-27,2013-05-28,2015-05-15,433,1.77,-0.23591414822924361,False,468,True
000631,139,2005-01-04,2005-10-27,2009-06-05,148,0.61,-0.997794800371402,False,1436,True
000661,338,2008-04-25,2017-05-11,2013-02-06,1137,4.66,-0.6116688567674113,True,2159,True
000672,11,2005-07-15,2006-05-16,2007-04-23,348,1.43,-0.6234057221647707,True,959,True
000676,2,2013-05-27,2013-05-28,2015-11-19,382,1.57,-0.260251589220163,False,168,True
000686,1,2007-01-17,2007-01-17,2007-08-28,7,0.03,0.0,False,2661,True
000688,43,2006-03-17,2007-02-27,2007-03-23,88,0.36,-0.9563082965144821,True,973,True
000719,19,2005-07-15,2006-12-29,2007-05-29,402,1.65,-0.5022329096530402,True,434,True
000733,15,2018-01-24,2019-01-14,2022-07-04,1075,4.41,-0.3214803709075501,False,1184,True
