code,n_qual,first_q,last_q,touch_date,days_to_touch,years_to_touch,max_drawdown,hold,denom,has_mcap
000001,51,2005-01-20,2005-12-19,2007-10-31,608,2.49,-0.2945339119187774,False,3662,True
000002,256,2005-01-04,2006-08-09,2007-07-17,574,2.35,-0.31251525953415693,False,3611,True
000062,8,2013-07-17,2013-09-13,2015-06-12,385,1.58,-0.3779992365579671,False,1665,True
000568,48,2016-02-15,2016-05-30,2021-02-02,1196,4.9,-0.4371969106278586,False,3306,True
000596,10,2016-01-28,2016-02-29,2021-01-04,1200,4.92,-0.4728513166853503,False,2555,True
000661,336,2015-07-08,2017-05-11,2020-06-23,1193,4.89,-0.4639764925830575,False,2159,True
000733,3,2018-01-24,2018-05-14,2022-07-04,1075,4.41,-0.3214803709075501,False,1184,True
000799,190,2018-01-11,2020-03-24,2021-06-18,832,3.41,-0.4906990337998143,False,816,True
000858,126,2015-11-27,2016-06-29,2020-11-09,1204,4.93,-0.4444621693324815,False,3451,True
002048,1,2005-06-03,2005-06-03,2007-07-26,479,1.96,-0.25734055795562716,False,1232,True
002129,16,2018-10-12,2018-11-23,2022-07-01,903,3.7,-0.37548733050568084,False,1943,True
002252,317,2011-06-24,2013-02-19,2015-05-26,779,3.19,-0.2808929481114911,False,1736,True
002271,8,2016-01-28,2016-06-13,2021-01-22,1214,4.98,-0.583543052948871,False,1484,True
002292,3,2012-11-28,2012-11-30,2015-12-22,606,2.48,-0.44938101152098087,False,1320,True
002371,296,2015-08-26,2019-01-23,2020-08-03,1129,4.63,-0.48740148309197506,True,1397,True
002460,157,2016-01-26,2019-09-03,2021-01-12,1205,4.94,-0.701389868481102,False,1312,True
002466,8,2020-04-28,2020-05-27,2022-07-05,529,2.17,-0.5748300010866503,False,1369,True
002475,226,2015-08-24,2017-01-26,2020-07-08,1167,4.78,-0.37907539296280945,False,1737,True
002709,442,2016-12-14,2020-05-28,2021-10-29,1184,4.85,-0.6590785907859078,False,960,True
002714,485,2015-05-21,2017-10-09,2020-03-05,1157,4.74,-0.44982120776660095,False,1312,True
002812,1,2019-08-30,2019-08-30,2021-09-14,491,2.01,-0.369739401677907,False,478,True
300014,814,2015-07-14,2019-06-14,2020-07-08,1195,4.9,-0.5870029440628066,True,1355,True
300015,311,2016-01-07,2017-08-29,2020-12-24,1193,4.89,-0.304687593331183,False,1875,True
300024,4,2011-03-29,2013-01-11,2015-06-03,1011,4.14,-0.44475843146378014,False,1922,True
300059,306,2013-05-13,2014-09-19,2015-04-22,427,1.75,-0.4527701336162595,False,1759,True
300122,497,2015-07-06,2017-08-07,2020-06-23,1206,4.94,-0.4180761781794706,False,1677,True
300142,4,2016-01-26,2016-02-01,2020-08-05,959,3.93,-0.45019799384632364,False,1291,True
300168,3,2014-07-16,2014-07-18,2015-06-03,182,0.75,-0.2139991083370486,False,1477,True
300274,867,2016-01-27,2020-07-08,2021-01-25,1211,4.96,-0.7438472846461706,False,1444,True
300308,78,2020-09-07,2020-12-31,2025-09-01,1208,4.95,-0.6096066905858504,,919,True
300347,277,2016-01-11,2017-12-06,2020-12-24,1174,4.81,-0.43597122302158264,False,1358,True
300394,83,2020-08-31,2020-12-31,2025-08-29,1212,4.97,-0.5370802128164289,,228,True
300476,89,2020-08-13,2020-12-31,2025-08-13,1212,4.97,-0.5844588232128924,,587,True
