sym,n_qual,first_q,last_q,years_to_touch,hold
hk00007,33,2005-01-03,2005-08-23,1.83,False
hk00009,479,2008-08-05,2012-05-23,4.61,False
hk00027,604,2008-07-03,2010-12-21,4.98,False
hk00030,127,2008-09-18,2009-04-29,0.8,False
hk00033,1189,2016-01-27,2020-12-31,5.04,True
hk00036,514,2005-01-04,2015-02-13,3.06,False
hk00037,195,2020-03-19,2020-12-31,3.34,False
hk00038,20,2008-09-12,2008-11-07,2.61,False
hk00048,651,2017-08-18,2020-09-29,3.53,False
hk00055,415,2008-10-27,2016-04-01,0.65,False
hk00058,176,2018-01-17,2020-11-20,3.51,False
hk00059,356,2005-01-03,2016-06-13,0.59,True
hk00061,1559,2005-01-03,2020-08-06,4.5,False
hk00063,719,2011-06-22,2014-07-22,4.06,False
hk00064,88,2020-08-25,2020-12-31,5.04,
hk00067,149,2016-07-29,2020-02-14,0.61,
hk00070,637,2005-01-03,2016-05-20,2.43,False
hk00072,109,2020-06-03,2020-12-29,2.78,False
hk00073,83,2020-09-01,2020-12-31,3.51,
hk00074,15,2008-10-24,2008-11-27,1.47,False
hk00076,1307,2006-09-05,2020-12-31,4.74,False
hk00078,89,2008-06-12,2008-10-22,5.02,False
hk00079,89,2006-06-13,2006-11-08,0.69,False
hk00081,1,2008-10-28,2008-10-28,2.84,False
hk00082,310,2005-09-26,2009-04-30,1.73,False
hk00085,89,2005-01-03,2005-05-17,2.48,False
hk00091,373,2008-10-28,2018-07-25,2.04,False
hk00092,599,2012-10-26,2017-10-25,5.04,False
hk00094,126,2006-09-13,2008-10-27,0.86,False
hk00095,902,2009-09-03,2013-05-30,4.94,False
hk00102,373,2008-12-02,2012-11-02,4.93,False
hk00103,39,2020-11-06,2020-12-31,5.05,
hk00104,75,2008-10-27,2013-01-07,2.07,False
hk00106,524,2005-01-03,2007-02-12,2.15,False
hk00108,598,2005-01-03,2007-06-06,2.58,False
hk00109,1566,2005-01-10,2015-01-06,2.54,False
hk00110,189,2020-03-16,2020-12-31,0.83,False
hk00115,415,2019-05-02,2020-12-31,5.04,
hk00116,24,2006-08-02,2008-11-27,5.06,False
hk00117,1,2006-01-03,2006-01-03,0.0,False
hk00119,53,2005-07-13,2005-12-22,4.45,False
hk00120,797,2005-11-25,2015-09-30,4.44,False
hk00123,29,2016-06-16,2020-03-23,5.04,False
hk00124,1,2008-10-28,2008-10-28,4.35,False
hk00126,298,2005-01-05,2006-06-26,2.41,False
hk00128,54,2008-10-10,2009-02-06,1.45,False
hk00129,492,2006-09-27,2009-09-08,4.35,False
hk00132,59,2011-08-09,2012-04-02,3.89,False
hk00133,256,2005-01-03,2006-01-17,2.75,False
hk00135,39,2005-01-13,2005-06-13,5.03,True
hk00136,1396,2008-07-21,2020-12-31,0.94,False
hk00139,1111,2005-01-03,2020-12-31,1.68,False
hk00141,292,2011-05-23,2012-08-03,5.02,False
hk00143,520,2009-03-26,2014-03-10,5.07,True
hk00145,681,2008-11-28,2020-08-25,0.99,False
hk00147,634,2005-01-03,2012-08-03,2.83,False
hk00149,824,2009-02-18,2015-12-21,5.07,False
hk00151,1,2006-01-03,2006-01-03,0.0,True
hk00152,1236,2009-02-13,2014-02-12,5.07,True
hk00155,27,2013-04-08,2013-05-15,0.27,False
hk00156,1,2020-12-28,2020-12-28,2.79,
hk00159,327,2005-02-25,2007-04-18,4.71,False
hk00162,121,2008-10-10,2010-02-03,4.53,False
hk00164,572,2005-01-03,2020-12-31,0.25,True
hk00165,237,2005-01-07,2006-01-17,2.84,False
hk00166,370,2006-01-20,2011-11-18,1.41,False
hk00167,252,2011-10-10,2020-12-31,3.54,False
hk00169,1034,2008-05-29,2013-04-09,5.06,False
hk00172,295,2005-01-05,2006-08-11,2.47,False
hk00175,344,2005-01-03,2016-03-16,4.93,False
hk00179,38,2009-07-15,2009-12-31,5.06,True
hk00183,3,2009-04-06,2020-06-02,0.0,False
hk00185,1085,2016-08-09,2020-12-31,5.05,False
hk00186,2,2016-08-01,2016-08-04,1.25,False
hk00188,30,2020-09-28,2020-11-25,0.4,False
hk00189,458,2008-02-29,2017-05-31,2.66,True
hk00190,1215,2011-10-25,2016-10-06,4.98,True
hk00191,1106,2008-10-28,2017-02-16,4.34,False
hk00193,1346,2005-01-03,2019-03-12,0.75,False
hk00195,382,2017-07-11,2020-12-03,5.03,
hk00197,75,2015-08-26,2020-12-30,1.74,False
hk00198,688,2012-06-19,2015-04-13,4.91,True
hk00199,279,2008-01-22,2009-03-13,5.05,True
hk00200,205,2008-10-02,2010-09-02,5.01,False
hk00201,3,2008-10-24,2008-10-28,4.38,False
hk00202,1186,2005-06-14,2010-04-09,4.94,False
hk00204,1540,2005-01-03,2020-12-07,2.25,True
hk00205,856,2017-06-27,2020-12-31,4.02,False
hk00207,774,2005-03-17,2010-09-08,2.61,False
hk00209,1220,2008-09-26,2020-12-31,1.43,False
hk00210,5,2009-01-23,2009-02-04,3.26,False
hk00211,939,2009-01-19,2020-09-25,3.91,True
hk00217,280,2005-01-05,2006-05-23,2.43,False
hk00218,505,2005-01-03,2007-03-05,2.67,False
hk00221,295,2007-01-02,2017-02-20,0.65,False
hk00223,9,2020-05-28,2020-07-22,3.61,
hk00228,123,2005-01-03,2020-12-31,0.35,False
hk00230,65,2005-10-12,2006-10-12,1.8,False
hk00232,5,2005-05-13,2005-12-13,2.03,False
hk00235,57,2009-02-02,2020-06-29,0.8,False
hk00241,1208,2008-09-30,2017-05-08,1.45,False
hk00243,296,2018-10-15,2020-05-04,2.71,False
hk00245,1458,2005-01-05,2020-12-31,2.29,False
hk00250,381,2011-08-09,2013-08-23,3.82,False
hk00254,2079,2005-01-03,2020-12-31,2.71,True
hk00257,139,2005-05-24,2011-10-04,4.71,False
hk00259,6,2008-11-13,2008-11-20,2.23,False
hk00260,180,2005-01-04,2005-10-06,1.36,False
hk00261,850,2017-07-21,2020-12-31,5.05,True
hk00262,121,2005-01-03,2005-08-31,1.28,False
hk00263,1776,2005-01-03,2019-03-28,2.14,False
hk00265,365,2005-12-09,2020-12-31,1.63,False
hk00268,435,2016-01-07,2017-12-06,5.03,False
hk00269,147,2008-09-17,2015-11-04,2.43,False
hk00273,1661,2005-01-03,2013-04-23,4.8,False
hk00274,891,2016-09-28,2020-12-31,5.05,False
hk00275,318,2008-03-26,2019-04-23,0.75,False
hk00276,1191,2005-01-03,2020-03-03,2.26,True
hk00279,1539,2005-01-03,2020-12-31,0.6,False
hk00280,1,2008-10-29,2008-10-29,2.07,False
hk00282,50,2020-05-25,2020-08-07,0.22,
hk00283,114,2011-08-25,2012-03-27,3.46,
hk00284,7,2011-10-13,2012-06-06,0.25,
hk00285,345,2012-06-22,2017-01-20,5.03,False
hk00286,532,2005-01-07,2020-03-30,2.25,False
hk00290,371,2018-11-30,2020-10-19,1.92,False
hk00292,452,2006-09-25,2009-09-08,4.89,True
hk00295,1795,2005-01-03,2014-02-07,5.0,False
hk00296,125,2008-10-24,2009-05-05,5.03,False
hk00297,123,2005-01-03,2005-07-05,2.17,False
hk00299,266,2016-01-27,2017-12-20,3.65,False
hk00305,713,2005-01-03,2020-09-02,1.93,True
hk00307,1065,2006-05-29,2011-05-12,4.82,False
hk00309,414,2005-01-03,2006-09-12,2.39,False
hk00310,807,2005-01-03,2020-12-31,3.44,False
hk00311,12,2009-03-16,2009-03-31,4.2,False
hk00312,1,2006-01-03,2006-01-03,0.0,False
hk00313,389,2005-01-03,2020-12-31,4.61,False
hk00317,371,2005-01-03,2006-07-05,2.09,False
hk00318,1210,2011-02-11,2016-02-05,5.04,False
hk00322,101,2005-01-03,2005-06-22,4.84,True
hk00326,442,2008-03-17,2015-11-06,1.23,False
hk00327,154,2012-01-11,2012-10-31,3.4,False
hk00328,421,2019-04-23,2020-12-31,5.05,
hk00329,1243,2005-01-20,2020-07-20,2.07,False
hk00332,551,2008-10-13,2011-09-02,4.56,False
hk00334,1164,2010-05-26,2015-03-11,4.85,False
hk00336,107,2005-03-30,2006-03-10,5.04,False
hk00337,86,2008-10-15,2009-03-20,4.67,False
hk00339,501,2005-01-03,2007-04-02,1.09,False
hk00340,972,2005-01-18,2020-12-31,2.1,False
hk00342,342,2008-04-15,2009-09-21,5.06,False
hk00343,379,2006-07-24,2020-12-18,5.06,True
hk00344,128,2008-11-04,2009-05-13,0.53,
hk00346,831,2005-01-03,2020-12-31,2.36,False
hk00347,7,2005-07-06,2005-07-14,2.32,False
hk00348,851,2005-07-28,2020-09-24,2.02,False
hk00350,70,2008-09-30,2009-01-29,2.38,False
hk00351,168,2016-06-24,2019-06-03,4.78,False
hk00353,1195,2005-01-03,2020-12-31,0.59,False
hk00354,1,2006-01-03,2006-01-03,0.0,True
hk00355,40,2008-08-19,2008-10-22,2.15,False
hk00357,180,2019-05-17,2020-02-19,1.25,False
hk00361,22,2019-12-27,2020-10-29,1.39,False
hk00362,38,2011-05-30,2017-02-08,4.01,False
hk00364,228,2017-01-23,2018-01-29,1.17,False
hk00365,737,2011-10-04,2015-09-17,5.04,False
hk00366,372,2005-01-03,2006-07-06,2.41,False
hk00370,234,2008-10-15,2020-09-01,1.08,False
hk00371,340,2005-08-04,2007-03-22,2.85,False
hk00372,132,2008-09-18,2009-04-02,0.57,False
hk00376,1417,2005-07-20,2014-06-12,1.88,False
hk00377,2357,2005-11-18,2018-03-02,5.06,False
hk00378,497,2011-07-05,2014-08-04,4.06,False
hk00379,758,2005-01-03,2020-03-25,2.53,False
hk00380,1502,2005-01-03,2015-01-16,2.41,False
hk00381,1202,2005-02-01,2020-12-31,2.51,False
hk00383,535,2010-06-29,2020-12-07,4.98,False
hk00384,112,2008-10-13,2009-04-08,4.83,True
hk00385,102,2005-01-03,2005-06-03,0.42,False
hk00388,205,2005-01-03,2005-11-16,2.76,False
hk00389,244,2019-05-30,2020-12-31,4.43,
hk00391,703,2010-08-27,2014-05-15,4.8,False
hk00395,708,2005-01-03,2018-08-29,3.52,False
hk00397,483,2005-01-03,2016-04-05,4.41,False
hk00399,1326,2005-01-03,2013-01-18,3.52,False
hk00402,298,2011-02-25,2012-11-19,3.9,False
hk00412,2124,2005-01-03,2020-12-31,4.12,False
hk00413,56,2005-01-03,2005-10-28,2.6,False
hk00417,883,2005-10-26,2009-06-12,5.05,False
hk00419,940,2008-09-17,2012-10-18,4.29,True
hk00421,558,2005-01-03,2007-04-03,4.38,
hk00428,301,2005-01-03,2006-04-25,1.98,True
hk00431,1086,2010-02-17,2014-08-25,5.05,False
hk00433,451,2007-11-27,2020-12-22,1.6,False
hk00434,133,2020-05-20,2020-12-31,4.6,
hk00438,1174,2016-03-30,2020-12-31,5.05,False
hk00439,1703,2005-01-03,2014-06-13,2.6,False
hk00444,76,2008-10-27,2009-05-04,3.66,False
hk00445,22,2012-09-06,2012-10-26,2.67,False
hk00451,288,2006-07-25,2020-11-20,4.74,True
hk00456,555,2017-09-19,2020-12-31,5.02,False
hk00459,180,2014-12-19,2016-08-05,2.54,False
hk00460,1,2006-01-03,2006-01-03,0.0,True
hk00462,29,2009-03-02,2009-04-09,1.53,False
